Name,Class,SubClass
Adakite,Igneous,Volcanic
Andesite,Igneous,Volcanic
Alkali,Igneous,Unknown
Anorthosite,Igneous,Intrusive
Aplite,Igneous,Intrusive
Basalt,Igneous,Unknown
ʻAʻā,Igneous,Unknown
Pāhoehoe,Igneous,Unknown
Basaltic,Igneous,Volcanic
Mugearite,Igneous,Volcanic
Shoshonite,Igneous,Unknown
Basanite,Igneous,Volcanic
Blairmorite,Igneous,Volcanic
Boninite,Igneous,Extrusive
Carbonatite,Igneous,Unknown
Charnockite,Igneous,Unknown
Enderbite,Igneous,Unknown
Dacite,Igneous,Volcanic
"Diabase,",Igneous,Unknown
Diorite,Igneous,Unknown
"Napoleonite,",Igneous,Unknown
Dunite,Igneous,Unknown
Essexite,Igneous,Unknown
Foidolite,Igneous,Unknown
Gabbro,Igneous,Intrusive
Granite,Igneous,Unknown
Granodiorite,Igneous,Intrusive
Granophyre,Igneous,Unknown
Harzburgite,Igneous,Unknown
Hornblendite,Igneous,Plutonic
Hyaloclastite,Igneous,Unknown
Icelandite,Igneous,Unknown
Ignimbrite,Igneous,Volcanic
Ijolite,Igneous,Unknown
Kimberlite,Igneous,Unknown
Komatiite,Igneous,Unknown
Lamproite,Igneous,Volcanic
Lamprophyre,Igneous,Intrusive
Latite,Igneous,Unknown
Lherzolite,Igneous,Unknown
Monzogranite,Igneous,Unknown
Monzonite,Igneous,Plutonic
Nepheline,Igneous,Plutonic
Nephelinite,Igneous,Plutonic
Norite,Igneous,Unknown
Obsidian,Igneous,Volcanic
Pegmatite,Igneous,Unknown
Peridotite,Igneous,Unknown
Phonolite,Igneous,Volcanic
Phonotephrite,Igneous,Volcanic
Picrite,Igneous,Unknown
Porphyry,Igneous,Unknown
Pumice,Igneous,Volcanic
Pyroxenite,Igneous,Plutonic
Quartz,Igneous,Unknown
Quartz,Igneous,Plutonic
Quartzolite,Igneous,Intrusive
Rhyodacite,Igneous,Volcanic
Rhyolite,Igneous,Volcanic
Comendite,Igneous,Unknown
Pantellerite,Igneous,Volcanic
Scoria,Igneous,Volcanic
Shonkinite,Igneous,Plutonic
Sovite,Igneous,Unknown
Syenite,Igneous,Plutonic
Tachylyte,Igneous,Unknown
Tephriphonolite,Igneous,Volcanic
Tephrite,Igneous,Volcanic
Tonalite,Igneous,Unknown
Trachyandesite,Igneous,Volcanic
Benmoreite,Igneous,Volcanic
Trachybasalt,Igneous,Volcanic
Hawaiite,Igneous,Unknown
Trachyte,Igneous,Volcanic
Troctolite,Igneous,Plutonic
Trondhjemite,Igneous,Unknown
Tuff,Igneous,Volcanic
Websterite,Igneous,Unknown
Wehrlite,Igneous,Plutonic
Argillite,Sedimentary,Clay
Arkose,Sedimentary,Unknown
Banded,Sedimentary,Unknown
Breccia,Sedimentary,Unknown
Calcarenite,Sedimentary,Sand
Chalk,Sedimentary,Unknown
Chert,Sedimentary,Unknown
Claystone,Sedimentary,Clastic
Coal,Sedimentary,Unknown
Conglomerate,Sedimentary,Unknown
Coquina,Sedimentary,Unknown
Diamictite,Sedimentary,Unknown
Diatomite,Sedimentary,Unknown
Dolomite,Sedimentary,Unknown
Evaporite,Sedimentary,Unknown
Flint,Sedimentary,Unknown
Geyserite,Sedimentary,Unknown
Greywacke,Sedimentary,Clay
Gritstone,Sedimentary,Unknown
Itacolumite,Sedimentary,Unknown
Jaspillite,Sedimentary,Unknown
Laterite,Sedimentary,Unknown
Lignite,Sedimentary,Unknown
Limestone,Sedimentary,Unknown
Marl,Sedimentary,Silt
Mudstone,Sedimentary,Unknown
Oil,Sedimentary,Unknown
Oolite,Sedimentary,Unknown
Phosphorite,Sedimentary,Unknown
Sandstone,Sedimentary,Unknown
Shale,Sedimentary,Clastic
Siltstone,Sedimentary,Silt
Sylvinite,Sedimentary,Unknown
Tillite,Sedimentary,Unknown
Travertine,Sedimentary,Unknown
Tufa,Sedimentary,Unknown
Turbidite,Sedimentary,Unknown
Wackestone,Sedimentary,Unknown
Anthracite,Metamorphic,Unknown
Amphibolite,Metamorphic,Unknown
Blueschist,Metamorphic,Unknown
Cataclasite,Metamorphic,Unknown
Eclogite,Metamorphic,Unknown
Gneiss,Metamorphic,Gneiss
Granulite,Metamorphic,Unknown
Greenschist,Metamorphic,Unknown
Hornfels,Metamorphic,Unknown
Calcflinta,Metamorphic,Unknown
Litchfieldite,Metamorphic,Gneiss
Marble,Metamorphic,Unknown
Migmatite,Metamorphic,Unknown
Mylonite,Metamorphic,Unknown
Metapelite,Metamorphic,Clay
Metapsammite,Metamorphic,Unknown
Phyllite,Metamorphic,Unknown
Pseudotachylite,Metamorphic,Unknown
Quartzite,Metamorphic,Unknown
Schist,Metamorphic,Unknown
Serpentinite,Metamorphic,Unknown
Skarn,Metamorphic,Unknown
Slate,Metamorphic,Unknown
Suevite,Metamorphic,Unknown
Talc,Metamorphic,Soapstone
Soapstone,Metamorphic,Unknown
Tectonite,Metamorphic,Unknown
Whiteschist,Metamorphic,Unknown
